,HDD,Description,Chip Speeds,Chip Brands,Prices (Rupee),Card Models,Ram Speed,Card Brands,Ram,Prices (VND),SSD,Ram Type,Chip Type
24,,"HP Pavilion x360 Core i3 10th Gen - (8 GB/256 GB SSD/Windows 10 Home) 14-dh1181TU 2 in 1 Laptop  (14 inch, Mineral Silver, 1.58 kg, With MS Office)",,,"₹44,990",,,,,14.114.713,,,
25,,"HP 14s Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) 14S-ER0003TU Thin and Light Laptop with inbuilt 4G LTE  (14 inch, Natural Silver, 1.51 kg, With MS Office)",,,"₹58,990",,,,,18.506.933,,,
26,,"DELL Inspiron Ryzen 3 Dual Core 3250U - (8 GB/1 TB HDD/Windows 10) Inspiron 3505 Notebook  (15.6 Inches, Softmint, 1.83 Kg, With MS Office)",,,"₹36,490",,,,,11.448.008,,,
27,,"HP Ryzen 5 Quad Core - (8 GB/1 TB HDD/Windows 10 Home) 245 G7 Thin and Light Laptop  (14 inch, Black, 1.52 kg)",,,"₹39,990",,,,,12.546.063,,,
28,,"acer Aspire 7 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650) A715-42G Gaming Laptop  (15.6 inch, Black, 2.15 kg)",,,"₹55,990",,,,,17.565.743,,,
29,,"acer Aspire 7 Core i5 9th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650 Ti) A715-75G-51H8 Gaming Laptop  (15.6 inch, Charcoal Black, 2.15 kg)",,,"₹50,990",,,,,15.997.093,,,
30,,"MSI GP65 Leopard Core i7 10th Gen - (16 GB/1 TB HDD/256 GB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeForce RTX 2060) GP65 Leopard 10SEK-830IN Gaming Laptop  (15.6 inches, Black-Silver, 2.33 kg)",,,"₹96,990",,,,,30.428.673,,,
31,,"HP 15s Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) 15s-DR3500TX Thin and Light Laptop  (15.6 inch, Natural Silver, 1.75 kg, With MS Office)",,,"₹62,990",,,,,19.761.853,,,
32,,"MSI GF63 Thin Core i5 9th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650 Max-Q) GF63 Thin 9SCXR-418IN Gaming Laptop  (15.6 inch, Black, 1.86 kg)",,,"₹54,990",,,,,17.252.013,,,
33,,"Lenovo Legion Y540 Core i5 9th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/60 Hz) Y540-15IRH-PG0 Gaming Laptop  (15.6 inch, Raven Black, 2.3 kg)",,,"₹60,990",,,,,19.134.393,,,
34,,"Lenovo Ideapad S145 Core i5 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) S145-15IIL Laptop  (15.6 inch, Platinum Grey, 1.85 kg, With MS Office)",,,"₹42,990",,,,,13.487.253,,,
35,,"Lenovo Core i3 10th Gen - (4 GB/1 TB HDD/Windows 10 Home) V14-IIL Thin and Light Laptop  (14 inch, Grey, 1.6 kg)",,,"₹39,693",,,,,12.452.885,,,
36,,"ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650 Ti/60 Hz) FX506LI-BQ057T Gaming Laptop  (15.6 inch, Black Plastic, 2.30 kg)",,,"₹61,990",,,,,19.448.123,,,
37,,"HP Pavilion Core i5 11th Gen - (16 GB/512 GB SSD/Windows 10 Home) 13-bb0075TU Thin and Light Laptop  (13.3 inch, Natural Silver, 1.24 kg, With MS Office)",,,"₹65,990",,,,,20.703.043,,,
38,,"APPLE MacBook Air Core i5 5th Gen - (8 GB/128 GB SSD/Mac OS Sierra) MQD32HN/A  (13.3 inch, Silver, 1.35 kg)",,,"₹74,990",,,,,23.526.613,,,
39,,"MSI GF63 Thin Core i5 9th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650 Ti with Max-Q) GF63 Thin 9SCSR -1040IN Gaming Laptop  (15.6 inch, Black, 1.86 kg)",,,"₹54,990",,,,,17.252.013,,,
40,,"Mi Notebook 14 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) JYU4299IN Thin and Light Laptop  (14 inch, Silver, 1.50 kg)",,,"₹46,999",,,,,14.744.996,,,
