,HDD,Description,Chip Speeds,Chip Brands,Prices (Rupee),Card Models,Ram Speed,Card Brands,Ram,Prices (VND),SSD,Ram Type,Chip Type
107,,"Lenovo Ideapad Flex 5 Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) 5 14ITL05 2 in 1 Laptop  (14 inch, Graphite Grey, 1.5 kg, With MS Office)",,,"₹51,990",,,,,16.310.823,,,
108,,"Lenovo ThinkPad E15 Core i7 11th Gen - (16 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) E15 Laptop  (15.6 inches, Black, 1.7 kg)",,,"₹101,606",,,,,31.876.850,,,
109,,"APPLE MacBook Pro with Touch Bar Core i5 8th Gen - (8 GB/256 GB SSD/Mac OS Catalina) MXK32HN/A  (13 inch, Space Grey, 1.4 kg)",,,"₹98,990",,,,,31.056.133,,,
110,,"HP Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) 15s-FQ2075TU Thin and Light Laptop  (15.6 inches, Jet Black, 1.69 Kg, With MS Office)",,,"₹41,990",,,,,13.173.523,,,
111,,"acer Aspire 3 Core i3 10th Gen - (4 GB/1 TB HDD/Windows 10 Home) A315-56-323J Laptop  (15.6 inch, Black, 1.9 kg)",,,"₹33,990",,,,,10.663.683,,,
112,,"HP 15 Ryzen 3 Dual Core 3200U - (4 GB/1 TB HDD/Windows 10 Home) 15-db 1059AU Laptop  (15.6 inch, Natural Silver, 1.9 kg, With MS Office)",,,"₹31,490",,,,,9.879.358,,,
113,,"ASUS VivoBook Ultra 14 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) X413EP-EB513TS Thin and Light Laptop  (14 inch, Dreamy White, 1.40 kg, With MS Office)",,,"₹59,990",,,,,18.820.663,,,
114,,"HP Omen Ryzen 5 Hexa Core 4600H - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650 Ti) 15-en0001AX Gaming Laptop  (15.6 inch, Mica Silver, 2.37 kg)",,,"₹69,990",,,,,21.957.963,,,
115,,"Lenovo IdeaPad Gaming 3i Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650 Ti/60 Hz) 15IMH05 Gaming Laptop  (15.6 inch, Onyx Black, 2.2 kg)",,,"₹65,990",,,,,20.703.043,,,
116,,"MSI GF65 Thin Core i7 9th Gen - (16 GB/512 GB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeForce RTX 2060) GF65 Thin 9SEXR-406IN / GF65 Thin 9SEXR-1043IN Gaming Laptop  (15.6 inch, Black, 1.86 kg)",,,"₹89,990",,,,,28.232.563,,,
117,,"Lenovo Ideapad 3 Core i5 10th Gen - (8 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) 15IML05 Laptop  (15.6 inch, Platinum Grey, 1.7 kg, With MS Office)",,,"₹48,990",,,,,15.369.633,,,
118,,"ASUS ROG Strix G17 (2021) Ryzen 9 Octa Core 5900HX - (16 GB/1 TB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeForce RTX 3060/300 Hz) G713QM-HG166TS Gaming Laptop  (17.3 Inches, Eclipse Gray, 2.7 KG, With MS Office)",,,"₹154,990",,,,,48.625.013,,,
119,,"HP 14s Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) 14s-CR2000TU Thin and Light Laptop  (14 inch, Natural Silver, 1.43 kg, With MS Office)",,,"₹57,990",,,,,18.193.203,,,
120,,"ASUS VivoBook 15 Core i3 10th Gen - (4 GB/1 TB HDD/Windows 10 Home) X515JA-BR381T Thin and Light Laptop  (15.6 inch, Slate Grey, 1.80 kg)",,,"₹32,990",,,,,10.349.953,,,
121,,"DELL Inspiron Core i3 11th Gen - (4 GB/512 GB SSD/Windows 10 Home) Inspiron 5406 2 in 1 Laptop  (14 inch, Silver, 1.72 kg, With MS Office)",,,"₹54,890",,,,,17.220.640,,,
122,,"acer Nitro 5 Ryzen 5 Hexa Core 4600H - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650) AN515-44-R9QA Gaming Laptop  (15.6 inch, Obsidian Black, 2.3 kg)",,,"₹62,990",,,,,19.761.853,,,
123,,"acer Aspire 7 Core i5 9th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650 Ti) A715-75G-51H8 Gaming Laptop  (15.6 inch, Charcoal Black, 2.15 kg)",,,"₹50,990",,,,,15.997.093,,,
124,,"Lenovo Ideapad Slim 5i Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14ITL05 Thin and Light Laptop  (14 inch, Graphite Grey, 1.66 kg, With MS Office)",,,"₹57,990",,,,,18.193.203,,,
125,,"LG Gram 14 Core i5 10th Gen - (8 GB/256 GB SSD/Windows 10 Home) Gram 14Z90N Laptop  (14 inch, Dark Silver, 0.999 g)",,,"₹65,990",,,,,20.703.043,,,
126,,"ASUS ZenBook 14 Core i7 11th Gen - (16 GB/512 GB SSD/Windows 10 Home) UX425EA-BM701TS Thin and Light Laptop  (14 inch, Pine Grey, 1.17 kg, With MS Office)",,,"₹95,990",,,,,30.114.943,,,
127,,"acer P2 Series Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) P215-53 Laptop  (15.6 inches, Black, 1.85 kg)",,,"₹50,990",,,,,15.997.093,,,
128,,"ASUS Ryzen 5 Quad Core 3500U - (8 GB/1 TB HDD/Windows 10 Home) M415DA-EB501T Thin and Light Laptop  (14 inch, Slate Grey, 1.60 kg)",,,"₹41,290",,,,,12.953.912,,,
129,,"HP Ryzen 5 Quad Core - (4 GB/256 GB SSD/DOS) 245 G7 Thin and Light Laptop  (14 inch, Black, 1.52 kg)",,,"₹34,890",,,,,10.946.040,,,
130,,"acer P2 Series Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) P215-53 Laptop  (15.6 inches, Black, 1.85 kg)",,,"₹38,990",,,,,12.232.333,,,
131,,"acer P2 Series Core i3 11th Gen - (8 GB/1 TB HDD/Windows 10 Home) P215-53 Laptop  (15.6 inches, Black, 1.85 kg)",,,"₹38,490",,,,,12.075.468,,,
132,,"DELL Inspiron Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) INS 5408 Thin and Light Laptop  (14 inch, Pebble, 1.43 kg, With MS Office)",,,"₹61,390",,,,,19.259.885,,,
133,,"ASUS Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) X509JB-EJ592T Laptop  (15.6 inch, Slate Grey, 1.9 kg)",,,"₹50,990",,,,,15.997.093,,,
134,,"Lenovo Ideapad S145 Ryzen 3 Dual Core 3200U - (4 GB/1 TB HDD/Windows 10 Home) S145-15API Thin and Light Laptop  (15.6 inch, Grey, 1.85 kg, With MS Office)",,,"₹28,990",,,,,9.095.033,,,
135,,"APPLE MacBook Air M1 - (8 GB/512 GB SSD/Mac OS Big Sur) MGNA3HN/A  (13.3 inch, Silver, 1.29 kg)",,,"₹114,990",,,,,36.075.813,,,
136,,"ASUS TUF Gaming F15 Core i7 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650 Ti/144 Hz) FX506LI-HN123TS Gaming Laptop  (15.6 inch, Black Plastic, 2.30 kg, With MS Office)",,,"₹89,380",,,,,28.041.187,,,
137,,"HP 14s Core i7 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14s-DR1010TU Thin and Light Laptop  (14 inch, Natural Silver, 1.46 kg, With MS Office)",,,"₹72,990",,,,,22.899.153,,,
138,,"HP Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 10 Home) 15s-EQ2040AU Thin and Light Laptop  (15.6 inches, Natural Silver, 1.69 kg, With MS Office)",,,"₹53,800",,,,,16.878.674,,,
139,,"Lenovo Ideapad S340 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) S340-14IILD Thin and Light Laptop  (14 inch, Platinum Grey, 1.6 kg, With MS Office)",,,"₹56,990",,,,,17.879.473,,,
140,,"acer P2 Series Core i5 11th Gen - (16 GB/512 GB SSD/Windows 10 Home) P215-53 Laptop  (15.6 inches, Black, 1.85 kg)",,,"₹54,990",,,,,17.252.013,,,
141,,"HP 14s Core i3 10th Gen - (4 GB/1 TB HDD/Windows 10 Home) 14s-cf3006TU Thin and Light Laptop  (14 inch, Natural Silver, 1.51 kg, With MS Office)",,,"₹37,990",,,,,11.918.603,,,
142,,"ASUS ZenBook Duo Core i7 10th Gen - (16 GB/1 TB SSD/Windows 10 Home/2 GB Graphics) UX481FL-BM149T Thin and Light Laptop  (14 inch, Celestial Blue, 1.50 kg)",,,"₹112,990",,,,,35.448.353,,,
143,,"Lenovo Ideapad 3 Core i5 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) 15IIL05 Laptop  (15.6 inch, Platinum Grey, 1.85 kg)",,,"₹43,990",,,,,13.800.983,,,
144,,"Lenovo Legion Core i7 9th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics) Y540-15IRH-PG0 Laptop  (15.6 inch, Raven Black, 2.3 kg)",,,"₹67,990",,,,,21.330.503,,,
145,,"ASUS Ryzen 5 Quad Core 3500U - (8 GB/512 GB SSD/Windows 10 Home) M515DA-BQ512TS Thin and Light Laptop  (15.6 inches, Transparent Silver, 1.80 kg, With MS Office)",,,"₹47,980",,,,,15.052.765,,,
146,,"ASUS TUF Dash F15 (2021) Core i5 11th Gen - (16 GB/512 GB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeForce RTX 3060/144 Hz) FX516PM-HN156TS Gaming Laptop  (15.6 Inches, Moonlight White, 2 KG, With MS Office)",,,"₹99,990",,,,,31.369.863,,,
147,,"ASUS Pentium Quad Core - (4 GB/1 TB HDD/Windows 10 Home) X543MA-GQ1020T Laptop  (15.6 inch, Transparent Silver, 1.9 kg)",,,"₹23,990",,,,,7.526.383,,,
148,,"Mi Notebook Horizon Edition 14 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) JYU4245IN Thin and Light Laptop  (14 inch, Grey, 1.35 kg)",,,"₹54,999",,,,,17.254.836,,,
149,,"acer Aspire 7 Core i5 9th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650 Ti) A715-75G-51H8 Gaming Laptop  (15.6 inch, Charcoal Black, 2.15 kg)",,,"₹50,990",,,,,15.997.093,,,
150,,"HP Spectre x360 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) 13-aw0204TU 2 in 1 Laptop  (13.3 inch, Night Fall Black, 1.27 kg, With MS Office)",,,"₹99,990",,,,,31.369.863,,,
151,,"Lenovo ThinkPad E15 Core i3 11th Gen - (4 GB/256 GB SSD/Windows 10 Home) E15 Laptop  (15.6 inches, Black, 1.7 kg, With MS Office)",,,"₹44,990",,,,,14.114.713,,,
152,,"acer Predator Helios 300 Core i7 10th Gen - (16 GB/2 TB SSD/Windows 10 Home/8 GB Graphics/NVIDIA GeForce RTX 2070 with Max-Q Design/240 Hz) PH315-53-7739 Gaming Laptop  (15.6 inch, Abyssal Black, 2.5 kg)",,,"₹150,490",,,,,47.213.228,,,
153,,"ASUS VivoBook Ultra 14 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) X413EA-EB511TS Thin and Light Laptop  (14 inch, Cobalt Blue, 1.40 kg, With MS Office)",,,"₹59,990",,,,,18.820.663,,,
154,,"ASUS VivoBook Ultra 14 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) X413EA-EB513TS Thin and Light Laptop  (14 inch, Dreamy White, 1.40 kg, With MS Office)",,,"₹59,990",,,,,18.820.663,,,
155,,"acer Aspire 5 Core i3 10th Gen - (4 GB + 32 GB Optane/512 GB SSD/Windows 10 Home) A514-53-316M Thin and Light Laptop  (14 inch, Magic Purple, 1.50 kg)",,,"₹37,890",,,,,11.887.230,,,
156,,"acer Swift 3 Core i5 11th Gen Intel EVO - (8 GB/512 GB SSD/Windows 10 Home) SF313-53-532J Thin and Light Laptop  (13.5 inch, Sparkly Silver, 1.19 kg, With MS Office)",,,"₹59,990",,,,,18.820.663,,,
157,,"ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650 Ti/60 Hz) FX506LI-BQ057TS Gaming Laptop  (15.6 inch, Black Plastic, 2.30 kg, With MS Office)",,,"₹63,990",,,,,20.075.583,,,
158,,"ASUS VivoBook Ultra 14 Core i5 10th Gen - (8 GB/1 TB SSD/Windows 10 Home) X413JA-EK279TS Thin and Light Laptop  (14 inch, Dreamy White, 1.40 kg, With MS Office)",,,"₹58,990",,,,,18.506.933,,,
159,,"APPLE MacBook Pro Core i9 9th Gen - (16 GB/1 TB SSD/Mac OS Catalina/4 GB Graphics) MVVM2HN/A  (16 inch, Silver, 2 kg)",,,"₹224,900",,,,,70.557.877,,,
160,,"ASUS ZenBook 13 Core i7 11th Gen - (16 GB/1 TB SSD/Windows 10 Home) UX325EA-EG701TS Thin and Light Laptop  (13.3 inch, Lilac Mist, 1.11 kg, With MS Office)",,,"₹99,890",,,,,31.338.490,,,
161,,"HP Pavilion Gaming Ryzen 5 Quad Core 3550H - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650) 15-ec0100AX Gaming Laptop  (15.6 inch, Shadow Black, 2.04 kg)",,,"₹55,990",,,,,17.565.743,,,
162,,"APPLE MacBook Pro Core i7 9th Gen - (16 GB/512 GB SSD/Mac OS Catalina/4 GB Graphics) MVVJ2HN/A  (16 inch, Space Grey, 2 kg)",,,"₹195,902",,,,,61.460.334,,,
163,,"HP Chromebook 14a Celeron Dual Core - (4 GB/64 GB EMMC Storage/Chrome OS) 14a-na0003tu Chromebook  (14 inch, Mineral Silver, 1.46 kg)",,,"₹24,990",,,,,7.840.113,,,
164,,"ASUS Athlon Dual Core 3050U - (4 GB/1 TB HDD/Windows 10 Home) M515DA-EJ002TS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)",,,"₹26,990",,,,,8.467.573,,,
165,,"ASUS Ryzen 3 Dual Core 3250U - (4 GB/256 GB SSD/Windows 10 Home) M515DA-EJ312TS Thin and Light Laptop  (15.6 inches, Transparent Silver, 1.80 Kg, With MS Office)",,,"₹33,680",,,,,10.566.426,,,
166,,"ASUS TUF Dash F15 (2021) Core i7 11th Gen - (16 GB/1 TB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeForce RTX 3060) FX516PM-AZ153TS Gaming Laptop  (15.6 inch, Eclipse Grey, 2.00 Kg, With MS Office)",,,"₹128,990",,,,,40.468.033,,,
167,,"APPLE MacBook Air Core i5 10th Gen - (8 GB/512 GB SSD/Mac OS Catalina) MVH52HN/A  (13.3 inch, Gold, 1.29 kg)",,,"₹99,990",,,,,31.369.863,,,
168,,"ASUS TUF Gaming Core i5 9th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/144 Hz) FX505GT-HN101T Gaming Laptop  (15.6 inch, Black, 2.20 kg)",,,"₹76,990",,,,,24.154.073,,,
169,,"acer Aspire 7 Core i5 9th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650 Ti) A715-75G-51H8 Gaming Laptop  (15.6 inch, Charcoal Black, 2.15 kg)",,,"₹50,990",,,,,15.997.093,,,
170,,"DELL G3 Core i7 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/120 Hz) G3 3500 Gaming Laptop  (15.6 inch, Black, 2.3 kg, With MS Office)",,,"₹77,990",,,,,24.467.803,,,
171,,"HP Pavilion x360 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14-dw1037TU 2 in 1 Laptop  (14 inch, Natural Silver, 1.61 kg, With MS Office)",,,"₹53,990",,,,,16.938.283,,,
172,,"Lenovo Ideapad Gaming 3 Ryzen 7 Octa Core 4800H - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/60 Hz) 15ARH05 Gaming Laptop  (15.6 inch, Onyx Black, 2.2 kg, With MS Office)",,,"₹72,858",,,,,22.857.740,,,
173,,"HP Ryzen 5 Quad Core - (4 GB/1 TB HDD/DOS) 245 G7 Thin and Light Laptop  (14 inch, Black, 1.52 kg)",,,"₹34,890",,,,,10.946.040,,,
174,,"ASUS ROG Strix G17 Core i7 10th Gen - (16 GB/512 GB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeForce GTX 1660 Ti/144 Hz) G712LU-EV008TS Gaming Laptop  (17.3 Inches, Original Black, 2.83 KG, With MS Office)",,,"₹99,990",,,,,31.369.863,,,
175,,"acer Aspire 5 Core i3 11th Gen - (4 GB/1 TB HDD/Windows 10 Home) A515-56 Thin and Light Laptop  (15.6 inch, Silver, 1.65 kg)",,,"₹38,990",,,,,12.232.333,,,
176,,"acer Nitro 5 Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650 Ti/60 Hz) AN515-55-58EB Gaming Laptop  (15.6 inch, Obsidian Black, 2.3 kg)",,,"₹66,990",,,,,21.016.773,,,
177,,"ASUS VivoBook Flip 14 Core i3 10th Gen - (4 GB/512 GB SSD/Windows 10 Home) TP412FA-EC372TS 2 in 1 Laptop  (14 inch, Silver Blue, 1.5 kg, With MS Office)",,,"₹50,990",,,,,15.997.093,,,
178,,"ASUS VivoBook Ultra 14 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) X413EP-EK511TS Thin and Light Laptop  (14 inch, Cobalt Blue, 1.40 kg, With MS Office)",,,"₹59,990",,,,,18.820.663,,,
179,,"ASUS VivoBook Flip 14 Core i3 10th Gen - (4 GB/512 GB SSD/Windows 10 Home) TP412FA-EC371TS 2 in 1 Laptop  (14 inch, Star Grey, 1.5 kg, With MS Office)",,,"₹46,990",,,,,14.742.173,,,
180,,"ASUS Core i9 10th Gen - (32 GB/1 TB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeForce RTX 2060) UX581LV-H2035T Gaming Laptop  (15.6 inch, Celestial Blue, 2.50 kg)",,,"₹269,990",,,,,84.703.963,,,
181,,"ALIENWARE Core i7 10th Gen - (16 GB/1 TB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeForce RTX 2060/300 Hz) M15R3 / AWM15R3 Gaming Laptop  (15.6 inch, Lunar Light, 2.5 kg, With MS Office)",,,"₹199,990",,,,,62.742.863,,,
182,,"ASUS ROG Zephyrus M15 Core i7 10th Gen - (16 GB/1 TB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeForce GTX 1660 Ti/240 Hz) GU502LU-AZ108TS Gaming Laptop  (15.6 inch, Dotted Grey Metal, 1.90 kg, With MS Office)",,,"₹107,990",,,,,33.879.703,,,
183,,"HP Pavilion x360 Core i7 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14-dw1040TU 2 in 1 Laptop  (14 inch, Natural Silver, 1.61 kg, With MS Office)",,,"₹80,990",,,,,25.408.993,,,
184,,"MICROSOFT Surface Laptop 3 Core i5 10th Gen - (8 GB/128 GB SSD/Windows 10 Home) 1867 Laptop  (13.5 inch, Platinum, 1.27 kg)",,,"₹89,990",,,,,28.232.563,,,
185,,"Lenovo Thinpad E14 Core i5 10th Gen - (8 GB/1 TB HDD/128 GB SSD/Windows 10 Home/512 MB Graphics) ThinkPad E14 Laptop  (14 inch, Black, With MS Office)",,,"₹58,478",,,,,18.346.303,,,
186,,"ASUS ZenBook Duo Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) UX481FL-BM5811T Thin and Light Laptop  (14 inch, Celestial Blue, 1.5 kg)",,,"₹79,890",,,,,25.063.890,,,
187,,"ASUS ROG Strix Scar 17 Core i9 10th Gen - (32 GB/2 TB SSD/Windows 10 Home/8 GB Graphics/NVIDIA GeForce RTX 2080 Super/300 Hz) G732LXS-HG059T Gaming Laptop  (17.3 inch, Black Metal, 2.99 kg)",,,"₹239,990",,,,,75.292.063,,,
188,,"HP Chromebook MT8183 - (4 GB/64 GB EMMC Storage/Chrome OS) 11A-NA0002MU Chromebook  (11.6 inch, Indigo Blue, 1.07 kg)",,,"₹21,990",,,,,6.898.923,,,
189,,"APPLE MacBook Air Core i5 10th Gen - (8 GB/512 GB SSD/Mac OS Catalina) MVH42HN/A  (13.3 inch, Silver, 1.29 kg)",,,"₹99,990",,,,,31.369.863,,,
190,,"DELL Inspiron Core i3 10th Gen - (4 GB/256 GB SSD/Windows 10 Home) Inspiron 3501 Laptop  (15.6 inch, Accent Black, 1.83 kg, With MS Office)",,,"₹36,986",,,,,11.603.618,,,
191,,"Lenovo Ideapad S340 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) S340 -14IILD Laptop  (14 inch, Platinum Grey, 1.6 kg, With MS Office)",,,"₹59,898",,,,,18.791.800,,,
