,date,PM25,PM10,O3,NO2,SO2,CO
1894,11/05/2015,,,,,,
1895,12/05/2015,,,,,,
1896,13/05/2015,,,,,,
1897,14/05/2015,,,,,,
1898,15/05/2015,,,,,,
1899,16/05/2015,,,,,,
1900,17/05/2015,,,,,,
1901,18/05/2015,,,,,,
1902,19/05/2015,,,,,,
1903,20/05/2015,,,,,,
1904,21/05/2015,,,,,,
1905,22/05/2015,,,,,,
1906,23/05/2015,,,,,,
1907,24/05/2015,,,,,,
1908,25/05/2015,,,,,,
1909,26/05/2015,,,,,,
1910,27/05/2015,,,,,,
1911,28/05/2015,,,,,,
1912,29/05/2015,,,,,,
1913,30/05/2015,,,,,,
1914,31/05/2015,,,,,,
1915,01/04/2015,,,,,,
1916,02/04/2015,,,,,,
1917,03/04/2015,,,,,,
1918,04/04/2015,,,,,,
1919,05/04/2015,,,,,,
1920,06/04/2015,,,,,,
1921,07/04/2015,,,,,,
1922,08/04/2015,,,,,,
1923,09/04/2015,,,,,,
1924,10/04/2015,,,,,,
1925,11/04/2015,,,,,,
1926,12/04/2015,,,,,,
1927,13/04/2015,,,,,,
1928,14/04/2015,,,,,,
1929,15/04/2015,,,,,,
1930,16/04/2015,,,,,,
1931,17/04/2015,,,,,,
1932,18/04/2015,,,,,,
1933,19/04/2015,,,,,,
1934,20/04/2015,,,,,,
1935,21/04/2015,,,,,,
1936,22/04/2015,,,,,,
1937,23/04/2015,,,,,,
1938,24/04/2015,,,,,,
1939,25/04/2015,,,,,,
1940,26/04/2015,,,,,,
1941,27/04/2015,,,,,,
1942,28/04/2015,,,,,,
1943,29/04/2015,,,,,,
1944,30/04/2015,,,,,,
1945,01/03/2015,,,,,,
1946,02/03/2015,,,,,,
1947,03/03/2015,,,,,,
1948,04/03/2015,,,,,,
1949,05/03/2015,,,,,,
1950,06/03/2015,,,,,,
1951,07/03/2015,,,,,,
1952,08/03/2015,,,,,,
1953,09/03/2015,,,,,,
1954,10/03/2015,,,,,,
1955,11/03/2015,,,,,,
1956,12/03/2015,,,,,,
1957,13/03/2015,,,,,,
1958,14/03/2015,,,,,,
1959,15/03/2015,,,,,,
1960,16/03/2015,,,,,,
1961,17/03/2015,,,,,,
1962,18/03/2015,,,,,,
1963,19/03/2015,,,,,,
1964,20/03/2015,,,,,,
1965,21/03/2015,,,,,,
1966,22/03/2015,,,,,,
1967,23/03/2015,,,,,,
1968,24/03/2015,,,,,,
1969,25/03/2015,,,,,,
1970,26/03/2015,,,,,,
1971,27/03/2015,,,,,,
1972,28/03/2015,,,,,,
1973,29/03/2015,,,,,,
1974,30/03/2015,,,,,,
1975,31/03/2015,,,,,,
1976,01/02/2015,,,,,,
1977,02/02/2015,,,,,,
1978,03/02/2015,,,,,,
1979,04/02/2015,,,,,,
1980,05/02/2015,,,,,,
1981,06/02/2015,,,,,,
1982,07/02/2015,,,,,,
1983,08/02/2015,,,,,,
1984,09/02/2015,,,,,,
1985,10/02/2015,,,,,,
1986,11/02/2015,,,,,,
1987,12/02/2015,,,,,,
1988,13/02/2015,,,,,,
1989,14/02/2015,,,,,,
1990,15/02/2015,,,,,,
1991,16/02/2015,,,,,,
1992,17/02/2015,,,,,,
1993,18/02/2015,,,,,,
1994,19/02/2015,,,,,,
1995,20/02/2015,,,,,,
1996,21/02/2015,,,,,,
1997,22/02/2015,,,,,,
1998,23/02/2015,,,,,,
1999,24/02/2015,,,,,,
2000,25/02/2015,,,,,,
2001,26/02/2015,,,,,,
2002,27/02/2015,,,,,,
2003,28/02/2015,,,,,,
2004,01/12/2014,,,,,,
2005,02/12/2014,,,,,,
2006,03/12/2014,,,,,,
2007,04/12/2014,,,,,,
2008,05/12/2014,,,,,,
2009,06/12/2014,,,,,,
2010,07/12/2014,,,,,,
2011,08/12/2014,,,,,,
2012,09/12/2014,,,,,,
2013,10/12/2014,,,,,,
2014,11/12/2014,,,,,,
2015,12/12/2014,,,,,,
2016,13/12/2014,,,,,,
2017,14/12/2014,,,,,,
2018,15/12/2014,,,,,,
2019,16/12/2014,,,,,,
2020,17/12/2014,,,,,,
2021,18/12/2014,,,,,,
2022,19/12/2014,,,,,,
2023,20/12/2014,,,,,,
2024,21/12/2014,,,,,,
2025,22/12/2014,,,,,,
2026,23/12/2014,,,,,,
2027,24/12/2014,,,,,,
2028,25/12/2014,,,,,,
2029,26/12/2014,,,,,,
2030,27/12/2014,,,,,,
2031,28/12/2014,,,,,,
2032,29/12/2014,,,,,,
2033,30/12/2014,,,,,,
2034,31/12/2014,,,,,,
2035,01/11/2014,,,,,,
2036,02/11/2014,,,,,,
2037,03/11/2014,,,,,,
2038,04/11/2014,,,,,,
2039,05/11/2014,,,,,,
2040,06/11/2014,,,,,,
2041,07/11/2014,,,,,,
2042,08/11/2014,,,,,,
2043,09/11/2014,,,,,,
2044,10/11/2014,,,,,,
2045,11/11/2014,,,,,,
2046,12/11/2014,,,,,,
2047,13/11/2014,,,,,,
2048,14/11/2014,,,,,,
2049,15/11/2014,,,,,,
2050,16/11/2014,,,,,,
2051,17/11/2014,,,,,,
2052,18/11/2014,,,,,,
2053,19/11/2014,,,,,,
2054,20/11/2014,,,,,,
2055,21/11/2014,,,,,,
2056,22/11/2014,,,,,,
2057,23/11/2014,,,,,,
2058,24/11/2014,,,,,,
2059,25/11/2014,,,,,,
2060,26/11/2014,,,,,,
2061,27/11/2014,,,,,,
2062,28/11/2014,,,,,,
2063,29/11/2014,,,,,,
2064,30/11/2014,,,,,,
2065,01/10/2014,,,,,,
2066,02/10/2014,,,,,,
2067,03/10/2014,,,,,,
2068,04/10/2014,,,,,,
2069,05/10/2014,,,,,,
2070,06/10/2014,,,,,,
2071,07/10/2014,,,,,,
2072,08/10/2014,,,,,,
2073,09/10/2014,,,,,,
2074,10/10/2014,,,,,,
2075,11/10/2014,,,,,,
2076,12/10/2014,,,,,,
2077,13/10/2014,,,,,,
2078,14/10/2014,,,,,,
2079,15/10/2014,,,,,,
2080,16/10/2014,,,,,,
2081,17/10/2014,,,,,,
2082,18/10/2014,,,,,,
2083,19/10/2014,,,,,,
2084,20/10/2014,,,,,,
2085,21/10/2014,,,,,,
2086,22/10/2014,,,,,,
2087,23/10/2014,,,,,,
2088,24/10/2014,,,,,,
2089,25/10/2014,,,,,,
2090,26/10/2014,,,,,,
2091,27/10/2014,,,,,,
2092,28/10/2014,,,,,,
2093,29/10/2014,,,,,,
2094,30/10/2014,,,,,,
2095,31/10/2014,,,,,,
2096,01/09/2014,,,,,,
2097,02/09/2014,,,,,,
2098,03/09/2014,,,,,,
2099,04/09/2014,,,,,,
2100,05/09/2014,,,,,,
2101,06/09/2014,,,,,,
2102,07/09/2014,,,,,,
2103,08/09/2014,,,,,,
2104,09/09/2014,,,,,,
2105,10/09/2014,,,,,,
2106,11/09/2014,,,,,,
2107,12/09/2014,,,,,,
2108,13/09/2014,,,,,,
2109,14/09/2014,,,,,,
2110,15/09/2014,,,,,,
2111,16/09/2014,,,,,,
2112,17/09/2014,,,,,,
2113,18/09/2014,,,,,,
2114,19/09/2014,,,,,,
2115,20/09/2014,,,,,,
2116,21/09/2014,,,,,,
2117,22/09/2014,,,,,,
2118,23/09/2014,,,,,,
2119,24/09/2014,,,,,,
2120,25/09/2014,,,,,,
2121,26/09/2014,,,,,,
2122,27/09/2014,,,,,,
2123,28/09/2014,,,,,,
2124,29/09/2014,,,,,,
2125,30/09/2014,,,,,,
2126,01/08/2014,,,,,,
2127,02/08/2014,,,,,,
2128,03/08/2014,,,,,,
2129,04/08/2014,,,,,,
2130,05/08/2014,,,,,,
2131,06/08/2014,,,,,,
2132,07/08/2014,,,,,,
2133,08/08/2014,,,,,,
2134,09/08/2014,,,,,,
2135,10/08/2014,,,,,,
2136,11/08/2014,,,,,,
2137,12/08/2014,,,,,,
2138,13/08/2014,,,,,,
2139,14/08/2014,,,,,,
2140,15/08/2014,,,,,,
2141,16/08/2014,,,,,,
2142,17/08/2014,,,,,,
2143,18/08/2014,,,,,,
2144,19/08/2014,,,,,,
2145,20/08/2014,,,,,,
2146,21/08/2014,,,,,,
2147,22/08/2014,,,,,,
2148,23/08/2014,,,,,,
2149,24/08/2014,,,,,,
2150,25/08/2014,,,,,,
2151,26/08/2014,,,,,,
2152,27/08/2014,,,,,,
2153,28/08/2014,,,,,,
2154,29/08/2014,,,,,,
2155,30/08/2014,,,,,,
2156,31/08/2014,,,,,,
2157,01/07/2014,,,,,,
2158,02/07/2014,,,,,,
2159,03/07/2014,,,,,,
2160,04/07/2014,,,,,,
2161,05/07/2014,,,,,,
2162,06/07/2014,,,,,,
2163,07/07/2014,,,,,,
2164,08/07/2014,,,,,,
2165,09/07/2014,,,,,,
2166,10/07/2014,,,,,,
2167,11/07/2014,,,,,,
2168,12/07/2014,,,,,,
2169,13/07/2014,,,,,,
2170,14/07/2014,,,,,,
2171,15/07/2014,,,,,,
2172,16/07/2014,,,,,,
2173,17/07/2014,,,,,,
2174,18/07/2014,,,,,,
2175,19/07/2014,,,,,,
2176,20/07/2014,,,,,,
2177,21/07/2014,,,,,,
2178,22/07/2014,,,,,,
2179,23/07/2014,,,,,,
2180,24/07/2014,,,,,,
2181,25/07/2014,,,,,,
2182,26/07/2014,,,,,,
2183,27/07/2014,,,,,,
2184,28/07/2014,,,,,,
2185,29/07/2014,,,,,,
2186,30/07/2014,,,,,,
2187,31/07/2014,,,,,,
2188,01/06/2014,,,,,,
2189,02/06/2014,,,,,,
2190,03/06/2014,,,,,,
2191,04/06/2014,,,,,,
2192,05/06/2014,,,,,,
2193,06/06/2014,,,,,,
2194,07/06/2014,,,,,,
2195,08/06/2014,,,,,,
2196,09/06/2014,,,,,,
2197,10/06/2014,,,,,,
2198,11/06/2014,89,,,,,
2199,12/06/2014,103,,,,,
2200,13/06/2014,94,,,,,
2201,14/06/2014,104,89,89,89,89,89
2202,15/06/2014,83,103,103,103,103,103
2203,16/06/2014,43,94,94,94,94,94
2204,17/06/2014,75,104,104,104,104,104
2205,18/06/2014,75,83,83,83,83,83
2206,19/06/2014,96,43,43,43,43,43
2207,20/06/2014,106,75,75,75,75,75
2208,21/06/2014,109,75,75,75,75,75
2209,22/06/2014,123,96,96,96,96,96
2210,23/06/2014,,106,106,106,106,106
2211,24/06/2014,28,109,109,109,109,109
2212,25/06/2014,38,123,123,123,123,123
2213,26/06/2014,,,,,,
2214,27/06/2014,,28,28,28,28,28
2215,28/06/2014,,38,38,38,38,38
2216,29/06/2014,,,,,,
2217,30/06/2014,,,,,,
2218,01/05/2014,,,,,,
2219,02/05/2014,,,,,,
2220,03/05/2014,,,,,,
2221,04/05/2014,,,,,,
2222,05/05/2014,,,,,,
2223,06/05/2014,,,,,,
2224,07/05/2014,,,,,,
2225,08/05/2014,,,,,,
2226,09/05/2014,,,,,,
2227,10/05/2014,,,,,,
2228,11/05/2014,,,,,,
2229,12/05/2014,127,,,,,
2230,13/05/2014,105,,,,,
2231,14/05/2014,75,,,,,
2232,15/05/2014,117,127,127,127,127,127
2233,16/05/2014,109,105,105,105,105,105
2234,17/05/2014,72,75,75,75,75,75
2235,18/05/2014,90,117,117,117,117,117
2236,19/05/2014,110,109,109,109,109,109
2237,20/05/2014,158,72,72,72,72,72
2238,21/05/2014,121,90,90,90,90,90
2239,22/05/2014,99,110,110,110,110,110
2240,23/05/2014,85,158,158,158,158,158
2241,24/05/2014,94,121,121,121,121,121
2242,25/05/2014,94,99,99,99,99,99
2243,26/05/2014,111,85,85,85,85,85
2244,27/05/2014,103,94,94,94,94,94
2245,28/05/2014,106,94,94,94,94,94
2246,29/05/2014,59,111,111,111,111,111
2247,30/05/2014,75,103,103,103,103,103
2248,31/05/2014,133,106,106,106,106,106
2249,01/04/2014,103,59,59,59,59,59
2250,02/04/2014,87,75,75,75,75,75
2251,03/04/2014,130,133,133,133,133,133
2252,04/04/2014,117,103,103,103,103,103
2253,05/04/2014,146,87,87,87,87,87
2254,06/04/2014,173,130,130,130,130,130
2255,07/04/2014,160,117,117,117,117,117
2256,08/04/2014,132,146,146,146,146,146
2257,09/04/2014,104,173,173,173,173,173
2258,10/04/2014,81,160,160,160,160,160
2259,11/04/2014,94,132,132,132,132,132
2260,12/04/2014,47,104,104,104,104,104
2261,13/04/2014,50,81,81,81,81,81
2262,14/04/2014,59,94,94,94,94,94
2263,15/04/2014,86,47,47,47,47,47
2264,16/04/2014,108,50,50,50,50,50
2265,17/04/2014,,59,59,59,59,59
2266,18/04/2014,,86,86,86,86,86
2267,19/04/2014,,108,108,108,108,108
2268,20/04/2014,,,,,,
2269,21/04/2014,,,,,,
2270,22/04/2014,,,,,,
2271,23/04/2014,,,,,,
2272,24/04/2014,,,,,,
2273,25/04/2014,,,,,,
2274,26/04/2014,,,,,,
2275,27/04/2014,,,,,,
2276,28/04/2014,,,,,,
2277,29/04/2014,,,,,,
2278,30/04/2014,,,,,,
2279,01/03/2014,,,,,,
2280,02/03/2014,118,,,,,
2281,03/03/2014,100,,,,,
2282,04/03/2014,85,,,,,
2283,05/03/2014,108,118,118,118,118,118
2284,06/03/2014,84,100,100,100,100,100
2285,07/03/2014,,85,85,85,85,85
2286,08/03/2014,94,108,108,108,108,108
2287,09/03/2014,94,84,84,84,84,84
2288,10/03/2014,63,,,,,
2289,11/03/2014,86,94,94,94,94,94
2290,12/03/2014,119,94,94,94,94,94
2291,13/03/2014,92,63,63,63,63,63
2292,14/03/2014,95,86,86,86,86,86
2293,15/03/2014,57,119,119,119,119,119
2294,16/03/2014,54,92,92,92,92,92
2295,17/03/2014,71,95,95,95,95,95
2296,18/03/2014,90,57,57,57,57,57
2297,19/03/2014,55,54,54,54,54,54
2298,20/03/2014,73,71,71,71,71,71
2299,21/03/2014,80,90,90,90,90,90
2300,22/03/2014,85,55,55,55,55,55
2301,23/03/2014,110,73,73,73,73,73
2302,24/03/2014,96,80,80,80,80,80
2303,25/03/2014,53,85,85,85,85,85
2304,26/03/2014,,110,110,110,110,110
2305,27/03/2014,,96,96,96,96,96
2306,28/03/2014,80,53,53,53,53,53
2307,29/03/2014,83,,,,,
2308,30/03/2014,114,,,,,
2309,31/03/2014,92,80,80,80,80,80
2310,01/02/2014,48,83,83,83,83,83
2311,02/02/2014,46,114,114,114,114,114
2312,03/02/2014,67,92,92,92,92,92
2313,04/02/2014,59,48,48,48,48,48
2314,05/02/2014,79,46,46,46,46,46
2315,06/02/2014,64,67,67,67,67,67
2316,07/02/2014,,59,59,59,59,59
2317,08/02/2014,,79,79,79,79,79
2318,09/02/2014,69,64,64,64,64,64
2319,10/02/2014,64,,,,,
2320,11/02/2014,71,,,,,
2321,12/02/2014,76,69,69,69,69,69
2322,13/02/2014,105,64,64,64,64,64
2323,14/02/2014,101,71,71,71,71,71
2324,15/02/2014,101,76,76,76,76,76
2325,16/02/2014,113,105,105,105,105,105
2326,17/02/2014,177,101,101,101,101,101
2327,18/02/2014,92,101,101,101,101,101
2328,19/02/2014,92,113,113,113,113,113
2329,20/02/2014,106,177,177,177,177,177
2330,21/02/2014,126,92,92,92,92,92
2331,22/02/2014,141,92,92,92,92,92
2332,23/02/2014,,106,106,106,106,106
2333,24/02/2014,,126,126,126,126,126
2334,25/02/2014,,141,141,141,141,141
2335,26/02/2014,,,,,,
2336,27/02/2014,,,,,,
2337,28/02/2014,,,,,,
2338,,,,,,,
2339,,117,,,,,
2340,,122,,,,,
2341,,97,,,,,
2342,,111,117,117,117,117,117
2343,,118,122,122,122,122,122
2344,,151,97,97,97,97,97
2345,,162,111,111,111,111,111
2346,,115,118,118,118,118,118
2347,,105,151,151,151,151,151
2348,,125,162,162,162,162,162
2349,,89,115,115,115,115,115
2350,,116,105,105,105,105,105
2351,,116,125,125,125,125,125
2352,,158,89,89,89,89,89
2353,,136,116,116,116,116,116
2354,,126,116,116,116,116,116
2355,,134,158,158,158,158,158
2356,,88,136,136,136,136,136
2357,,131,126,126,126,126,126
2358,,155,134,134,134,134,134
2359,,124,88,88,88,88,88
2360,,101,131,131,131,131,131
2361,,78,155,155,155,155,155
2362,,110,124,124,124,124,124
2363,,134,101,101,101,101,101
2364,,110,78,78,78,78,78
2365,,101,110,110,110,110,110
2366,,108,134,134,134,134,134
2367,,133,110,110,110,110,110
2368,,93,101,101,101,101,101
2369,,117,108,108,108,108,108
2370,,106,133,133,133,133,133
2371,,85,93,93,93,93,93
2372,,85,117,117,117,117,117
2373,,73,106,106,106,106,106
2374,,95,85,85,85,85,85
2375,,108,85,85,85,85,85
2376,,105,73,73,73,73,73
2377,,104,95,95,95,95,95
2378,,99,108,108,108,108,108
2379,,96,105,105,105,105,105
2380,,137,104,104,104,104,104
2381,,119,99,99,99,99,99
2382,,147,96,96,96,96,96
2383,,147,137,137,137,137,137
2384,,164,119,119,119,119,119
2385,,138,147,147,147,147,147
2386,,148,147,147,147,147,147
2387,,154,164,164,164,164,164
2388,,107,138,138,138,138,138
2389,,75,148,148,148,148,148
2390,,113,154,154,154,154,154
2391,,104,107,107,107,107,107
2392,,88,75,75,75,75,75
2393,,93,113,113,113,113,113
2394,,107,104,104,104,104,104
2395,,107,88,88,88,88,88
2396,,126,93,93,93,93,93
2397,,106,107,107,107,107,107
2398,,96,107,107,107,107,107
2399,,111,126,126,126,126,126
2400,,110,106,106,106,106,106
2401,,106,96,96,96,96,96
2402,,96,111,111,111,111,111
2403,,94,110,110,110,110,110
2404,,109,106,106,106,106,106
2405,,109,96,96,96,96,96
2406,,111,94,94,94,94,94
2407,,118,109,109,109,109,109
2408,,105,109,109,109,109,109
2409,,91,111,111,111,111,111
2410,,136,118,118,118,118,118
2411,,165,105,105,105,105,105
2412,,121,91,91,91,91,91
2413,,106,136,136,136,136,136
2414,,166,165,165,165,165,165
2415,,158,121,121,121,121,121
2416,,162,106,106,106,106,106
2417,,160,166,166,166,166,166
2418,,139,158,158,158,158,158
2419,,107,162,162,162,162,162
2420,,90,160,160,160,160,160
2421,,97,139,139,139,139,139
2422,,125,107,107,107,107,107
2423,,153,90,90,90,90,90
2424,,132,97,97,97,97,97
2425,,138,125,125,125,125,125
2426,,160,153,153,153,153,153
2427,,147,132,132,132,132,132
2428,,121,138,138,138,138,138
2429,,157,160,160,160,160,160
2430,,117,147,147,147,147,147
2431,,124,121,121,121,121,121
2432,,146,157,157,157,157,157
2433,,131,117,117,117,117,117
2434,,115,124,124,124,124,124
2435,,122,146,146,146,146,146
2436,,118,131,131,131,131,131
2437,,133,115,115,115,115,115
2438,,132,122,122,122,122,122
2439,,131,118,118,118,118,118
2440,,104,133,133,133,133,133
2441,,101,132,132,132,132,132
2442,,122,131,131,131,131,131
2443,,134,104,104,104,104,104
2444,,101,101,101,101,101,101
2445,,101,122,122,122,122,122
2446,,94,134,134,134,134,134
2447,,84,101,101,101,101,101
2448,,84,101,101,101,101,101
2449,,99,94,94,94,94,94
2450,,81,84,84,84,84,84
2451,,120,84,84,84,84,84
2452,,125,99,99,99,99,99
2453,,127,81,81,81,81,81
2454,,159,120,120,120,120,120
2455,,183,125,125,125,125,125
2456,,154,127,127,127,127,127
2457,,168,159,159,159,159,159
2458,,187,183,183,183,183,183
2459,,209,154,154,154,154,154
2460,,182,168,168,168,168,168
2461,,125,187,187,187,187,187
2462,,128,209,209,209,209,209
2463,,147,182,182,182,182,182
2464,,161,125,125,125,125,125
2465,,160,128,128,128,128,128
2466,,145,147,147,147,147,147
2467,,148,161,161,161,161,161
2468,,133,160,160,160,160,160
2469,,154,145,145,145,145,145
2470,,140,148,148,148,148,148
2471,,,133,133,133,133,133
2472,,,154,154,154,154,154
2473,,186,140,140,140,140,140
2474,,227,,,,,
2475,,253,,,,,
2476,,,186,186,186,186,186
2477,,188,227,227,227,227,227
2478,,167,253,253,253,253,253
2479,,163,,,,,
2480,,165,188,188,188,188,188
2481,,189,167,167,167,167,167
2482,,206,163,163,163,163,163
2483,,150,165,165,165,165,165
2484,,133,189,189,189,189,189
2485,,162,206,206,206,206,206
2486,,171,150,150,150,150,150
2487,,179,133,133,133,133,133
2488,,191,162,162,162,162,162
2489,,194,171,171,171,171,171
2490,,199,179,179,179,179,179
2491,,,191,191,191,191,191
2492,,179,194,194,194,194,194
2493,,180,199,199,199,199,199
2494,,183,,,,,
2495,,166,179,179,179,179,179
2496,,183,180,180,180,180,180
2497,,181,183,183,183,183,183
2498,,167,166,166,166,166,166
2499,,153,183,183,183,183,183
2500,,154,181,181,181,181,181
2501,,164,167,167,167,167,167
2502,,,153,153,153,153,153
2503,,,154,154,154,154,154
2504,,,164,164,164,164,164
